Date ,Open ,High ,Low ,Close ,Adj Close ,Volume 
12-Dec-24,4340.00,4360.00,4260.00,4260.00,3896.95,226698900
13-Dec-24,4230.00,4280.00,4170.00,4170.00,3814.62,287838100
16-Dec-24,4150.00,4280.00,4150.00,4250.00,3887.81,325441900
17-Dec-24,4250.00,4290.00,4150.00,4150.00,3796.33,327919000
18-Dec-24,4170.00,4210.00,4130.00,4150.00,3796.33,205055500
19-Dec-24,4090.00,4110.00,4050.00,4090.00,3741.44,381986300
20-Dec-24,4070.00,4120.00,4050.00,4060.00,3714.00,252689600
23-Dec-24,4130.00,4210.00,4110.00,4210.00,3851.21,167689800
24-Dec-24,4220.00,4250.00,4170.00,4200.00,3842.07,199536100
27-Dec-24,4100.00,4120.00,4080.00,4100.00,3875.15,143104400
30-Dec-24,4080.00,4120.00,4070.00,4080.00,3856.24,153934700
2-Jan-25,4100.00,4220.00,4090.00,4210.00,3979.11,181361700
3-Jan-25,4220.00,4240.00,4150.00,4150.00,3922.41,134632300
6-Jan-25,4180.00,4180.00,4100.00,4100.00,3875.15,153048700
7-Jan-25,4080.00,4090.00,4030.00,4030.00,3808.99,171997400
8-Jan-25,4030.00,4100.00,4030.00,4080.00,3856.24,133655700
9-Jan-25,4070.00,4100.00,4030.00,4030.00,3808.99,99300400
10-Jan-25,4030.00,4060.00,4010.00,4010.00,3790.08,132774300
13-Jan-25,3990.00,3990.00,3850.00,3850.00,3638.86,413408100
14-Jan-25,3820.00,3920.00,3800.00,3800.00,3591.60,293621700
15-Jan-25,3840.00,4090.00,3840.00,4090.00,3865.70,407813500
16-Jan-25,4210.00,4240.00,4130.00,4160.00,3931.86,349387500
17-Jan-25,4150.00,4190.00,4080.00,4090.00,3865.70,268758600
20-Jan-25,4130.00,4220.00,4130.00,4220.00,3988.57,167348600
21-Jan-25,4270.00,4380.00,4250.00,4260.00,4026.37,345223800
22-Jan-25,4310.00,4320.00,4230.00,4260.00,4026.37,193218900
23-Jan-25,4260.00,4340.00,4260.00,4300.00,4064.18,216018100
24-Jan-25,4350.00,4350.00,4190.00,4190.00,3960.21,276421900
30-Jan-25,4130.00,4170.00,4090.00,4120.00,3894.05,220222400
31-Jan-25,4170.00,4280.00,4150.00,4220.00,3988.57,192622700
3-Feb-25,4200.00,4270.00,4150.00,4250.00,4016.92,220285800
4-Feb-25,4260.00,4300.00,4200.00,4260.00,4026.37,231917500
5-Feb-25,4250.00,4250.00,4140.00,4140.00,3912.95,209834400
6-Feb-25,4120.00,4160.00,3940.00,3970.00,3752.28,378545500
7-Feb-25,3970.00,4030.00,3940.00,4030.00,3808.99,259636200
10-Feb-25,4000.00,4050.00,3950.00,3970.00,3752.28,201999400
11-Feb-25,3970.00,4040.00,3900.00,4010.00,3790.08,276382800
12-Feb-25,3960.00,4060.00,3950.00,4030.00,3808.99,362571900
